Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.8333333333333334,0.0,120.0,600.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.8347222222222223,0.01652892561983471,119.0,600.0,1.0,1.0,1.0,0.0,0.0,0.8344923504867872,0.008333333333333333,0.08339126405519481,0.9686628331116348,0.001388888888888889,0.9986111111111111,6.0,1.0013908205841446
0.8375,0.064,116.0,599.0,0.9983333333333333,4.0,0.8,1.0,0.0016666666666666668,0.8377622377622378,0.03333333333333333,0.14211194248128547,0.902792635018689,0.006944444444444444,0.9930555555555556,4.8,1.0053146853146853
0.8402777777777778,0.09448818897637795,114.0,599.0,0.9983333333333333,6.0,0.8571428571428571,1.0,0.0016666666666666668,0.8401122019635343,0.05,0.1835773983641294,0.8957590056013802,0.009722222222222222,0.9902777777777778,5.142857142857143,1.0081346423562412
0.8458333333333333,0.15267175572519084,110.0,599.0,0.9983333333333333,10.0,0.9090909090909091,1.0,0.0016666666666666668,0.844851904090268,0.08333333333333333,0.24813705166660646,0.8529192698892539,0.015277777777777777,0.9847222222222223,5.454545454545454,1.0138222849083214
0.8513888888888889,0.2074074074074074,106.0,599.0,0.9983333333333333,14.0,0.9333333333333333,1.0,0.0016666666666666668,0.849645390070922,0.11666666666666667,0.30007091360458343,0.8122281426617766,0.020833333333333332,0.9791666666666666,5.6000000000000005,1.0195744680851064
0.8583333333333333,0.2714285714285714,101.0,599.0,0.9983333333333333,19.0,0.95,1.0,0.0016666666666666668,0.8557142857142858,0.15833333333333333,0.3552866046286736,0.7652879363382856,0.027777777777777776,0.9722222222222222,5.7,1.026857142857143
0.8611111111111112,0.29577464788732394,99.0,599.0,0.9983333333333333,21.0,0.9545454545454546,1.0,0.0016666666666666668,0.8581661891117478,0.175,0.37532654879972865,0.7596317421320105,0.030555555555555555,0.9694444444444444,5.7272727272727275,1.0297994269340973
0.8638888888888889,0.33783783783783783,95.0,597.0,0.995,25.0,0.8928571428571429,3.0,0.005,0.8627167630057804,0.20833333333333334,0.39196091751448175,0.700586074229839,0.03888888888888889,0.9611111111111111,5.357142857142858,1.0352601156069363
0.8625,0.33557046979865773,95.0,596.0,0.9933333333333333,25.0,0.8620689655172413,4.0,0.006666666666666667,0.8625180897250362,0.20833333333333334,0.38226307190274866,0.6969597930034386,0.04027777777777778,0.9597222222222223,5.172413793103448,1.0350217076700434
0.8666666666666667,0.38461538461538464,90.0,594.0,0.99,30.0,0.8333333333333334,6.0,0.01,0.868421052631579,0.25,0.41039134083406165,0.6664039411388739,0.05,0.95,5.0,1.0421052631578949
0.8680555555555556,0.39490445859872614,89.0,594.0,0.99,31.0,0.8378378378378378,6.0,0.01,0.8696925329428989,0.25833333333333336,0.4191698646259648,0.6632026294498058,0.05138888888888889,0.9486111111111111,5.027027027027028,1.0436310395314787
0.875,0.45121951219512196,83.0,593.0,0.9883333333333333,37.0,0.8409090909090909,7.0,0.011666666666666667,0.8772189349112426,0.30833333333333335,0.4615675981479119,0.626364758149795,0.06111111111111111,0.9388888888888889,5.045454545454546,1.052662721893491
