Matrix of word-grams occurrences tokenizer: NLTK based tokenizer
Matrix of word-grams occurrences binary: True
Matrix of word-grams occurrences sublinear_tf: False
Matrix of word-grams occurrences use_idf: False
Matrix of word-grams occurrences lowercase: True
Matrix of word-grams occurrences norm: L2
Intercept: -3.2078392594952154
Loss distribution: Binomial Deviance
Link function: logit

Feature Name,Type,Derived Feature,Transform1,Value1,Transform2,Value2,Coefficient
Location,TXT,Location-cove apt,Matrix of word-grams occurrences,cove apt,,,0.0
Location,TXT,Location-coves,Matrix of word-grams occurrences,coves,,,0.0
Location,TXT,Location-cove,Matrix of word-grams occurrences,cove,,,0.0
Location,TXT,Location-colleen,Matrix of word-grams occurrences,colleen,,,0.0
Location,TXT,Location-collins,Matrix of word-grams occurrences,collins,,,0.0
Location,TXT,Location-cody,Matrix of word-grams occurrences,cody,,,0.0
Location,TXT,Location-common,Matrix of word-grams occurrences,common,,,0.0
Location,TXT,Location-co,Matrix of word-grams occurrences,co,,,0.0
Location,TXT,Location-carla,Matrix of word-grams occurrences,carla,,,0.0
Location,TXT,Location-carmen,Matrix of word-grams occurrences,carmen,,,0.0
Location,TXT,Location-carrie,Matrix of word-grams occurrences,carrie,,,0.0
Location,TXT,Location-carter,Matrix of word-grams occurrences,carter,,,0.0
Location,TXT,Location-camp suite,Matrix of word-grams occurrences,camp suite,,,0.0
Location,TXT,Location-campbell,Matrix of word-grams occurrences,campbell,,,0.0
Location,TXT,Location-camp,Matrix of word-grams occurrences,camp,,,0.0
Location,TXT,Location-canyon apt,Matrix of word-grams occurrences,canyon apt,,,0.0
Location,TXT,Location-canyon,Matrix of word-grams occurrences,canyon,,,0.0
Location,TXT,Location-caldwell,Matrix of word-grams occurrences,caldwell,,,0.0
Location,TXT,Location-cape,Matrix of word-grams occurrences,cape,,,0.0
Location,TXT,Location-causeway,Matrix of word-grams occurrences,causeway,,,0.0
Location,TXT,Location-ca,Matrix of word-grams occurrences,ca,,,0.0
Location,TXT,Location-crest apt,Matrix of word-grams occurrences,crest apt,,,0.0
Location,TXT,Location-crest suite,Matrix of word-grams occurrences,crest suite,,,0.0
