Matrix of word-grams occurrences tokenizer: NLTK based tokenizer
Matrix of word-grams occurrences binary: True
Matrix of word-grams occurrences sublinear_tf: False
Matrix of word-grams occurrences use_idf: False
Matrix of word-grams occurrences lowercase: True
Matrix of word-grams occurrences norm: L2
Intercept: -3.2078392594952154
Loss distribution: Binomial Deviance
Link function: logit

Feature Name,Type,Derived Feature,Transform1,Value1,Transform2,Value2,Coefficient
Location,TXT,Location-lakes,Matrix of word-grams occurrences,lakes,,,0.0
Location,TXT,Location-lake,Matrix of word-grams occurrences,lake,,,0.0
Location,TXT,Location-landing,Matrix of word-grams occurrences,landing,,,0.0
Location,TXT,Location-lane,Matrix of word-grams occurrences,lane,,,0.0
Location,TXT,Location-laura,Matrix of word-grams occurrences,laura,,,0.0
Location,TXT,Location-laurie,Matrix of word-grams occurrences,laurie,,,0.0
Location,TXT,Location-lawson,Matrix of word-grams occurrences,lawson,,,0.0
Location,TXT,Location-la,Matrix of word-grams occurrences,la,,,0.0
Location,TXT,Location-locks apt,Matrix of word-grams occurrences,locks apt,,,0.0
Location,TXT,Location-locks suite,Matrix of word-grams occurrences,locks suite,,,0.0
Location,TXT,Location-locks,Matrix of word-grams occurrences,locks,,,0.0
Location,TXT,Location-lock suite,Matrix of word-grams occurrences,lock suite,,,0.0
Location,TXT,Location-lock,Matrix of word-grams occurrences,lock,,,0.0
Location,TXT,Location-lodge apt,Matrix of word-grams occurrences,lodge apt,,,0.0
Location,TXT,Location-lodge suite,Matrix of word-grams occurrences,lodge suite,,,0.0
Location,TXT,Location-lodge,Matrix of word-grams occurrences,lodge,,,0.0
Location,TXT,Location-loaf,Matrix of word-grams occurrences,loaf,,,0.0
Location,TXT,Location-loop,Matrix of word-grams occurrences,loop,,,0.0
Location,TXT,Location-lopez,Matrix of word-grams occurrences,lopez,,,0.0
Location,TXT,Location-lindsay,Matrix of word-grams occurrences,lindsay,,,0.0
Location,TXT,Location-lindsey,Matrix of word-grams occurrences,lindsey,,,0.0
Location,TXT,Location-linda,Matrix of word-grams occurrences,linda,,,0.0
Location,TXT,Location-lights suite,Matrix of word-grams occurrences,lights suite,,,0.0
Location,TXT,Location-lights,Matrix of word-grams occurrences,lights,,,0.0
Location,TXT,Location-lisa,Matrix of word-grams occurrences,lisa,,,0.0
Location,TXT,Location-lee,Matrix of word-grams occurrences,lee,,,0.0
Location,TXT,Location-lewis,Matrix of word-grams occurrences,lewis,,,0.0
Location,TXT,Location-luke,Matrix of word-grams occurrences,luke,,,0.0
Location,TXT,Location-danielle,Matrix of word-grams occurrences,danielle,,,0.0
Location,TXT,Location-daniel,Matrix of word-grams occurrences,daniel,,,0.0
Location,TXT,Location-dana,Matrix of word-grams occurrences,dana,,,0.0
Location,TXT,Location-davidside,Matrix of word-grams occurrences,davidside,,,0.0
Location,TXT,Location-david,Matrix of word-grams occurrences,david,,,0.0
Location,TXT,Location-davis,Matrix of word-grams occurrences,davis,,,0.0
Location,TXT,Location-dale,Matrix of word-grams occurrences,dale,,,0.0
Location,TXT,Location-dam,Matrix of word-grams occurrences,dam,,,0.0
Location,TXT,Location-day,Matrix of word-grams occurrences,day,,,0.0
Location,TXT,Location-diana,Matrix of word-grams occurrences,diana,,,0.0
Location,TXT,Location-diane,Matrix of word-grams occurrences,diane,,,0.0
Location,TXT,Location-diaz,Matrix of word-grams occurrences,diaz,,,0.0
Location,TXT,Location-divide suite,Matrix of word-grams occurrences,divide suite,,,0.0
Location,TXT,Location-divide,Matrix of word-grams occurrences,divide,,,0.0
Location,TXT,Location-deborah,Matrix of word-grams occurrences,deborah,,,0.0
Location,TXT,Location-debra,Matrix of word-grams occurrences,debra,,,0.0
Location,TXT,Location-denise,Matrix of word-grams occurrences,denise,,,0.0
Location,TXT,Location-de,Matrix of word-grams occurrences,de,,,0.0
Location,TXT,Location-dpo aa,Matrix of word-grams occurrences,dpo aa,,,0.0
Location,TXT,Location-dpo ae,Matrix of word-grams occurrences,dpo ae,,,0.0
Location,TXT,Location-dpo ap,Matrix of word-grams occurrences,dpo ap,,,0.0
Location,TXT,Location-dpo,Matrix of word-grams occurrences,dpo,,,0.0
Location,TXT,Location-drive apt,Matrix of word-grams occurrences,drive apt,,,0.0
Location,TXT,Location-drive suite,Matrix of word-grams occurrences,drive suite,,,0.0
Location,TXT,Location-drives,Matrix of word-grams occurrences,drives,,,0.0
Location,TXT,Location-drive,Matrix of word-grams occurrences,drive,,,0.0
Location,TXT,Location-donald,Matrix of word-grams occurrences,donald,,,0.0
Location,TXT,Location-douglas,Matrix of word-grams occurrences,douglas,,,0.0
Location,TXT,Location-dc,Matrix of word-grams occurrences,dc,,,0.0
Location,TXT,Location-dunn,Matrix of word-grams occurrences,dunn,,,0.0
Location,TXT,Location-fords suite,Matrix of word-grams occurrences,fords suite,,,0.0
Location,TXT,Location-fords,Matrix of word-grams occurrences,fords,,,0.0
Location,TXT,Location-ford east,Matrix of word-grams occurrences,ford east,,,0.0
Location,TXT,Location-ford,Matrix of word-grams occurrences,ford,,,0.0
Location,TXT,Location-forge suite,Matrix of word-grams occurrences,forge suite,,,0.0
Location,TXT,Location-forges,Matrix of word-grams occurrences,forges,,,0.0
Location,TXT,Location-forge,Matrix of word-grams occurrences,forge,,,0.0
Location,TXT,Location-forks,Matrix of word-grams occurrences,forks,,,0.0
Location,TXT,Location-fork,Matrix of word-grams occurrences,fork,,,0.0
Location,TXT,Location-fort suite,Matrix of word-grams occurrences,fort suite,,,0.0
Location,TXT,Location-fort,Matrix of word-grams occurrences,fort,,,0.0
Location,TXT,Location-falls apt,Matrix of word-grams occurrences,falls apt,,,0.0
Location,TXT,Location-falls suite,Matrix of word-grams occurrences,falls suite,,,0.0
Location,TXT,Location-falls,Matrix of word-grams occurrences,falls,,,0.0
Location,TXT,Location-fall,Matrix of word-grams occurrences,fall,,,0.0
Location,TXT,Location-fpo aa,Matrix of word-grams occurrences,fpo aa,,,0.0
Location,TXT,Location-fpo ae,Matrix of word-grams occurrences,fpo ae,,,0.0
Location,TXT,Location-fpo ap,Matrix of word-grams occurrences,fpo ap,,,0.0
Location,TXT,Location-fpo,Matrix of word-grams occurrences,fpo,,,0.0
Location,TXT,Location-field apt,Matrix of word-grams occurrences,field apt,,,0.0
Location,TXT,Location-fields,Matrix of word-grams occurrences,fields,,,0.0
Location,TXT,Location-field,Matrix of word-grams occurrences,field,,,0.0
Location,TXT,Location-flats,Matrix of word-grams occurrences,flats,,,0.0
Location,TXT,Location-flat,Matrix of word-grams occurrences,flat,,,0.0
Location,TXT,Location-fl,Matrix of word-grams occurrences,fl,,,0.0
Location,TXT,Location-freeway apt,Matrix of word-grams occurrences,freeway apt,,,0.0
Location,TXT,Location-freeway,Matrix of word-grams occurrences,freeway,,,0.0
Location,TXT,Location-ferguson,Matrix of word-grams occurrences,ferguson,,,0.0
Location,TXT,Location-fm,Matrix of word-grams occurrences,fm,,,0.0
Location,TXT,Location-fuller,Matrix of word-grams occurrences,fuller,,,0.0
Location,TXT,Location-jamestown,Matrix of word-grams occurrences,jamestown,,,0.0
Location,TXT,Location-james,Matrix of word-grams occurrences,james,,,0.0
Location,TXT,Location-jamie,Matrix of word-grams occurrences,jamie,,,0.0
Location,TXT,Location-jasonshire,Matrix of word-grams occurrences,jasonshire,,,0.0
Location,TXT,Location-jason,Matrix of word-grams occurrences,jason,,,0.0
Location,TXT,Location-jasmine,Matrix of word-grams occurrences,jasmine,,,0.0
Location,TXT,Location-jackson,Matrix of word-grams occurrences,jackson,,,0.0
Location,TXT,Location-jacob,Matrix of word-grams occurrences,jacob,,,0.0
Location,TXT,Location-jared,Matrix of word-grams occurrences,jared,,,0.0
Location,TXT,Location-josephfort,Matrix of word-grams occurrences,josephfort,,,0.0
Location,TXT,Location-josephhaven,Matrix of word-grams occurrences,josephhaven,,,0.0
Location,TXT,Location-joseph,Matrix of word-grams occurrences,joseph,,,0.0
Location,TXT,Location-joshua,Matrix of word-grams occurrences,joshua,,,0.0
Location,TXT,Location-johnson,Matrix of word-grams occurrences,johnson,,,0.0
Location,TXT,Location-john,Matrix of word-grams occurrences,john,,,0.0
Location,TXT,Location-jonathan,Matrix of word-grams occurrences,jonathan,,,0.0
Location,TXT,Location-jones,Matrix of word-grams occurrences,jones,,,0.0
Location,TXT,Location-joel,Matrix of word-grams occurrences,joel,,,0.0
Location,TXT,Location-jenniferfort,Matrix of word-grams occurrences,jenniferfort,,,0.0
Location,TXT,Location-jennifermouth,Matrix of word-grams occurrences,jennifermouth,,,0.0
Location,TXT,Location-jennifer,Matrix of word-grams occurrences,jennifer,,,0.0
Location,TXT,Location-jensen,Matrix of word-grams occurrences,jensen,,,0.0
Location,TXT,Location-jeffrey,Matrix of word-grams occurrences,jeffrey,,,0.0
Location,TXT,Location-jeremy,Matrix of word-grams occurrences,jeremy,,,0.0
Location,TXT,Location-jessica,Matrix of word-grams occurrences,jessica,,,0.0
Location,TXT,Location-juan,Matrix of word-grams occurrences,juan,,,0.0
Location,TXT,Location-julie,Matrix of word-grams occurrences,julie,,,0.0
Location,TXT,Location-junctions,Matrix of word-grams occurrences,junctions,,,0.0
Location,TXT,Location-justin,Matrix of word-grams occurrences,justin,,,0.0
Location,TXT,Location-ways apt,Matrix of word-grams occurrences,ways apt,,,0.0
Location,TXT,Location-ways suite,Matrix of word-grams occurrences,ways suite,,,0.0
Location,TXT,Location-ways,Matrix of word-grams occurrences,ways,,,0.0
Location,TXT,Location-way suite,Matrix of word-grams occurrences,way suite,,,0.0
Location,TXT,Location-way,Matrix of word-grams occurrences,way,,,0.0
Location,TXT,Location-walks apt,Matrix of word-grams occurrences,walks apt,,,0.0
Location,TXT,Location-walks,Matrix of word-grams occurrences,walks,,,0.0
Location,TXT,Location-walker,Matrix of word-grams occurrences,walker,,,0.0
Location,TXT,Location-ward,Matrix of word-grams occurrences,ward,,,0.0
Location,TXT,Location-wa,Matrix of word-grams occurrences,wa,,,0.0
Location,TXT,Location-west courtney,Matrix of word-grams occurrences,west courtney,,,0.0
Location,TXT,Location-west jessica,Matrix of word-grams occurrences,west jessica,,,0.0
Location,TXT,Location-west ryan,Matrix of word-grams occurrences,west ryan,,,0.0
Location,TXT,Location-west,Matrix of word-grams occurrences,west,,,0.0
Location,TXT,Location-wesley,Matrix of word-grams occurrences,wesley,,,0.0
Location,TXT,Location-wells suite,Matrix of word-grams occurrences,wells suite,,,0.0
Location,TXT,Location-wells,Matrix of word-grams occurrences,wells,,,0.0
Location,TXT,Location-william square,Matrix of word-grams occurrences,william square,,,0.0
Location,TXT,Location-williamfurt,Matrix of word-grams occurrences,williamfurt,,,0.0
Location,TXT,Location-williams,Matrix of word-grams occurrences,williams,,,0.0
Location,TXT,Location-william,Matrix of word-grams occurrences,william,,,0.0
Location,TXT,Location-wiley,Matrix of word-grams occurrences,wiley,,,0.0
Location,TXT,Location-wilson,Matrix of word-grams occurrences,wilson,,,0.0
Location,TXT,Location-wi,Matrix of word-grams occurrences,wi,,,0.0
Location,TXT,Location-wright loop,Matrix of word-grams occurrences,wright loop,,,0.0
Location,TXT,Location-wright,Matrix of word-grams occurrences,wright,,,0.0
Location,TXT,Location-wv,Matrix of word-grams occurrences,wv,,,0.0
Location,TXT,Location-wy,Matrix of word-grams occurrences,wy,,,0.0
Location,TXT,Location-132 lake,Matrix of word-grams occurrences,132 lake,,,0.0
Location,TXT,Location-1322,Matrix of word-grams occurrences,1322,,,0.0
Location,TXT,Location-132,Matrix of word-grams occurrences,132,,,0.0
Location,TXT,Location-1317,Matrix of word-grams occurrences,1317,,,0.0
Location,TXT,Location-133,Matrix of word-grams occurrences,133,,,0.0
Location,TXT,Location-1384,Matrix of word-grams occurrences,1384,,,0.0
Location,TXT,Location-1005,Matrix of word-grams occurrences,1005,,,0.0
Location,TXT,Location-107,Matrix of word-grams occurrences,107,,,0.0
Location,TXT,Location-108,Matrix of word-grams occurrences,108,,,0.0
Location,TXT,Location-112,Matrix of word-grams occurrences,112,,,0.0
Location,TXT,Location-115,Matrix of word-grams occurrences,115,,,0.0
Location,TXT,Location-118,Matrix of word-grams occurrences,118,,,0.0
Location,TXT,Location-143,Matrix of word-grams occurrences,143,,,0.0
Location,TXT,Location-145,Matrix of word-grams occurrences,145,,,0.0
Location,TXT,Location-147,Matrix of word-grams occurrences,147,,,0.0
Location,TXT,Location-12062,Matrix of word-grams occurrences,12062,,,0.0
Location,TXT,Location-123,Matrix of word-grams occurrences,123,,,0.0
Location,TXT,Location-1547,Matrix of word-grams occurrences,1547,,,0.0
Location,TXT,Location-158,Matrix of word-grams occurrences,158,,,0.0
Location,TXT,Location-162,Matrix of word-grams occurrences,162,,,0.0
Location,TXT,Location-169,Matrix of word-grams occurrences,169,,,0.0
Location,TXT,Location-176,Matrix of word-grams occurrences,176,,,0.0
Location,TXT,Location-1774,Matrix of word-grams occurrences,1774,,,0.0
Location,TXT,Location-180,Matrix of word-grams occurrences,180,,,0.0
Location,TXT,Location-186,Matrix of word-grams occurrences,186,,,0.0
Location,TXT,Location-19037,Matrix of word-grams occurrences,19037,,,0.0
Location,TXT,Location-2030,Matrix of word-grams occurrences,2030,,,0.0
Location,TXT,Location-2039,Matrix of word-grams occurrences,2039,,,0.0
Location,TXT,Location-2091,Matrix of word-grams occurrences,2091,,,0.0
Location,TXT,Location-209,Matrix of word-grams occurrences,209,,,0.0
Location,TXT,Location-202,Matrix of word-grams occurrences,202,,,0.0
Location,TXT,Location-205,Matrix of word-grams occurrences,205,,,0.0
Location,TXT,Location-26077,Matrix of word-grams occurrences,26077,,,0.0
Location,TXT,Location-264,Matrix of word-grams occurrences,264,,,0.0
Location,TXT,Location-269,Matrix of word-grams occurrences,269,,,0.0
Location,TXT,Location-2923,Matrix of word-grams occurrences,2923,,,0.0
Location,TXT,Location-2978,Matrix of word-grams occurrences,2978,,,0.0
Location,TXT,Location-299,Matrix of word-grams occurrences,299,,,0.0
Location,TXT,Location-210,Matrix of word-grams occurrences,210,,,0.0
Location,TXT,Location-215,Matrix of word-grams occurrences,215,,,0.0
Location,TXT,Location-226,Matrix of word-grams occurrences,226,,,0.0
Location,TXT,Location-227,Matrix of word-grams occurrences,227,,,0.0
Location,TXT,Location-2416,Matrix of word-grams occurrences,2416,,,0.0
Location,TXT,Location-2490,Matrix of word-grams occurrences,2490,,,0.0
Location,TXT,Location-2529,Matrix of word-grams occurrences,2529,,,0.0
Location,TXT,Location-253,Matrix of word-grams occurrences,253,,,0.0
Location,TXT,Location-2804,Matrix of word-grams occurrences,2804,,,0.0
Location,TXT,Location-281,Matrix of word-grams occurrences,281,,,0.0
Location,TXT,Location-2311,Matrix of word-grams occurrences,2311,,,0.0
Location,TXT,Location-275,Matrix of word-grams occurrences,275,,,0.0
Location,TXT,Location-3035,Matrix of word-grams occurrences,3035,,,0.0
Location,TXT,Location-303,Matrix of word-grams occurrences,303,,,0.0
Location,TXT,Location-3028,Matrix of word-grams occurrences,3028,,,0.0
Location,TXT,Location-3040,Matrix of word-grams occurrences,3040,,,0.0
Location,TXT,Location-308,Matrix of word-grams occurrences,308,,,0.0
Location,TXT,Location-331 west,Matrix of word-grams occurrences,331 west,,,0.0
Location,TXT,Location-331,Matrix of word-grams occurrences,331,,,0.0
Location,TXT,Location-335,Matrix of word-grams occurrences,335,,,0.0
Location,TXT,Location-339,Matrix of word-grams occurrences,339,,,0.0
Location,TXT,Location-385 west,Matrix of word-grams occurrences,385 west,,,0.0
Location,TXT,Location-385,Matrix of word-grams occurrences,385,,,0.0
Location,TXT,Location-3807,Matrix of word-grams occurrences,3807,,,0.0
Location,TXT,Location-388,Matrix of word-grams occurrences,388,,,0.0
Location,TXT,Location-350,Matrix of word-grams occurrences,350,,,0.0
Location,TXT,Location-353,Matrix of word-grams occurrences,353,,,0.0
Location,TXT,Location-356,Matrix of word-grams occurrences,356,,,0.0
Location,TXT,Location-341,Matrix of word-grams occurrences,341,,,0.0
Location,TXT,Location-342,Matrix of word-grams occurrences,342,,,0.0
Location,TXT,Location-393,Matrix of word-grams occurrences,393,,,0.0
Location,TXT,Location-399,Matrix of word-grams occurrences,399,,,0.0
Location,TXT,Location-310,Matrix of word-grams occurrences,310,,,0.0
Location,TXT,Location-323,Matrix of word-grams occurrences,323,,,0.0
Location,TXT,Location-363,Matrix of word-grams occurrences,363,,,0.0
Location,TXT,Location-375,Matrix of word-grams occurrences,375,,,0.0
Location,TXT,Location-6413,Matrix of word-grams occurrences,6413,,,0.0
Location,TXT,Location-6431,Matrix of word-grams occurrences,6431,,,0.0
Location,TXT,Location-645,Matrix of word-grams occurrences,645,,,0.0
Location,TXT,Location-6480,Matrix of word-grams occurrences,6480,,,0.0
Location,TXT,Location-605,Matrix of word-grams occurrences,605,,,0.0
Location,TXT,Location-606,Matrix of word-grams occurrences,606,,,0.0
Location,TXT,Location-6097,Matrix of word-grams occurrences,6097,,,0.0
Location,TXT,Location-614,Matrix of word-grams occurrences,614,,,0.0
Location,TXT,Location-6155,Matrix of word-grams occurrences,6155,,,0.0
Location,TXT,Location-6187,Matrix of word-grams occurrences,6187,,,0.0
Location,TXT,Location-6720,Matrix of word-grams occurrences,6720,,,0.0
Location,TXT,Location-675,Matrix of word-grams occurrences,675,,,0.0
Location,TXT,Location-678,Matrix of word-grams occurrences,678,,,0.0
Location,TXT,Location-6339,Matrix of word-grams occurrences,6339,,,0.0
Location,TXT,Location-636,Matrix of word-grams occurrences,636,,,0.0
Location,TXT,Location-653,Matrix of word-grams occurrences,653,,,0.0
Location,TXT,Location-6571,Matrix of word-grams occurrences,6571,,,0.0
Location,TXT,Location-665,Matrix of word-grams occurrences,665,,,0.0
Location,TXT,Location-668,Matrix of word-grams occurrences,668,,,0.0
Location,TXT,Location-68644,Matrix of word-grams occurrences,68644,,,0.0
Location,TXT,Location-6882,Matrix of word-grams occurrences,6882,,,0.0
Location,TXT,Location-62096,Matrix of word-grams occurrences,62096,,,0.0
Location,TXT,Location-693,Matrix of word-grams occurrences,693,,,0.0
Location,TXT,Location-trace apt,Matrix of word-grams occurrences,trace apt,,,0.0
Location,TXT,Location-trace,Matrix of word-grams occurrences,trace,,,0.0
Location,TXT,Location-trail apt,Matrix of word-grams occurrences,trail apt,,,0.0
Location,TXT,Location-trail,Matrix of word-grams occurrences,trail,,,0.0
Location,TXT,Location-trafficway,Matrix of word-grams occurrences,trafficway,,,0.0
Location,TXT,Location-travis,Matrix of word-grams occurrences,travis,,,0.0
Location,TXT,Location-thomas,Matrix of word-grams occurrences,thomas,,,0.0
Location,TXT,Location-thompson,Matrix of word-grams occurrences,thompson,,,0.0
Location,TXT,Location-theresa,Matrix of word-grams occurrences,theresa,,,0.0
Location,TXT,Location-throughway,Matrix of word-grams occurrences,throughway,,,0.0
Location,TXT,Location-tunnel apt,Matrix of word-grams occurrences,tunnel apt,,,0.0
Location,TXT,Location-tunnel suite,Matrix of word-grams occurrences,tunnel suite,,,0.0
Location,TXT,Location-tunnel,Matrix of word-grams occurrences,tunnel,,,0.0
Location,TXT,Location-turnpike,Matrix of word-grams occurrences,turnpike,,,0.0
Location,TXT,Location-tara,Matrix of word-grams occurrences,tara,,,0.0
Location,TXT,Location-taylor,Matrix of word-grams occurrences,taylor,,,0.0
Location,TXT,Location-teresa,Matrix of word-grams occurrences,teresa,,,0.0
Location,TXT,Location-terrace,Matrix of word-grams occurrences,terrace,,,0.0
Location,TXT,Location-tiffanyside,Matrix of word-grams occurrences,tiffanyside,,,0.0
Location,TXT,Location-timothy,Matrix of word-grams occurrences,timothy,,,0.0
Location,TXT,Location-tn,Matrix of word-grams occurrences,tn,,,0.0
Location,TXT,Location-tx,Matrix of word-grams occurrences,tx,,,0.0
Location,TXT,Location-tyler,Matrix of word-grams occurrences,tyler,,,0.0
Location,TXT,Location-7552,Matrix of word-grams occurrences,7552,,,0.0
Location,TXT,Location-755,Matrix of word-grams occurrences,755,,,0.0
Location,TXT,Location-753,Matrix of word-grams occurrences,753,,,0.0
Location,TXT,Location-754,Matrix of word-grams occurrences,754,,,0.0
Location,TXT,Location-7800,Matrix of word-grams occurrences,7800,,,0.0
Location,TXT,Location-780,Matrix of word-grams occurrences,780,,,0.0
Location,TXT,Location-7853,Matrix of word-grams occurrences,7853,,,0.0
Location,TXT,Location-788,Matrix of word-grams occurrences,788,,,0.0
Location,TXT,Location-701,Matrix of word-grams occurrences,701,,,0.0
Location,TXT,Location-704,Matrix of word-grams occurrences,704,,,0.0
Location,TXT,Location-7098,Matrix of word-grams occurrences,7098,,,0.0
Location,TXT,Location-730,Matrix of word-grams occurrences,730,,,0.0
Location,TXT,Location-731,Matrix of word-grams occurrences,731,,,0.0
Location,TXT,Location-7364,Matrix of word-grams occurrences,7364,,,0.0
Location,TXT,Location-7606,Matrix of word-grams occurrences,7606,,,0.0
Location,TXT,Location-763,Matrix of word-grams occurrences,763,,,0.0
Location,TXT,Location-770,Matrix of word-grams occurrences,770,,,0.0
Location,TXT,Location-773,Matrix of word-grams occurrences,773,,,0.0
Location,TXT,Location-793,Matrix of word-grams occurrences,793,,,0.0
Location,TXT,Location-795,Matrix of word-grams occurrences,795,,,0.0
Location,TXT,Location-712,Matrix of word-grams occurrences,712,,,0.0
Location,TXT,Location-728,Matrix of word-grams occurrences,728,,,0.0
Location,TXT,Location-village apt,Matrix of word-grams occurrences,village apt,,,0.0
Location,TXT,Location-village suite,Matrix of word-grams occurrences,village suite,,,0.0
Location,TXT,Location-villages,Matrix of word-grams occurrences,villages,,,0.0
Location,TXT,Location-village,Matrix of word-grams occurrences,village,,,0.0
Location,TXT,Location-ville apt,Matrix of word-grams occurrences,ville apt,,,0.0
Location,TXT,Location-ville,Matrix of word-grams occurrences,ville,,,0.0
Location,TXT,Location-vista south,Matrix of word-grams occurrences,vista south,,,0.0
Location,TXT,Location-vista suite,Matrix of word-grams occurrences,vista suite,,,0.0
Location,TXT,Location-vista apt,Matrix of word-grams occurrences,vista apt,,,0.0
Location,TXT,Location-vista lake,Matrix of word-grams occurrences,vista lake,,,0.0
Location,TXT,Location-vista,Matrix of word-grams occurrences,vista,,,0.0
Location,TXT,Location-via suite,Matrix of word-grams occurrences,via suite,,,0.0
Location,TXT,Location-viaduct,Matrix of word-grams occurrences,viaduct,,,0.0
Location,TXT,Location-via,Matrix of word-grams occurrences,via,,,0.0
Location,TXT,Location-views suite,Matrix of word-grams occurrences,views suite,,,0.0
Location,TXT,Location-views,Matrix of word-grams occurrences,views,,,0.0
Location,TXT,Location-vi,Matrix of word-grams occurrences,vi,,,0.0
Location,TXT,Location-valleys,Matrix of word-grams occurrences,valleys,,,0.0
Location,TXT,Location-valley,Matrix of word-grams occurrences,valley,,,0.0
Location,TXT,Location-vanessa,Matrix of word-grams occurrences,vanessa,,,0.0
Location,TXT,Location-va,Matrix of word-grams occurrences,va,,,0.0
Location,TXT,Location-vt,Matrix of word-grams occurrences,vt,,,0.0
Location,TXT,Location-070,Matrix of word-grams occurrences,070,,,0.0
Location,TXT,Location-071,Matrix of word-grams occurrences,071,,,0.0
Location,TXT,Location-073,Matrix of word-grams occurrences,073,,,0.0
Location,TXT,Location-078,Matrix of word-grams occurrences,078,,,0.0
Location,TXT,Location-080,Matrix of word-grams occurrences,080,,,0.0
Location,TXT,Location-082,Matrix of word-grams occurrences,082,,,0.0
Location,TXT,Location-087,Matrix of word-grams occurrences,087,,,0.0
Location,TXT,Location-089,Matrix of word-grams occurrences,089,,,0.0
Location,TXT,Location-091,Matrix of word-grams occurrences,091,,,0.0
Location,TXT,Location-094,Matrix of word-grams occurrences,094,,,0.0
Location,TXT,Location-097,Matrix of word-grams occurrences,097,,,0.0
Location,TXT,Location-002,Matrix of word-grams occurrences,002,,,0.0
Location,TXT,Location-007,Matrix of word-grams occurrences,007,,,0.0
Location,TXT,Location-025,Matrix of word-grams occurrences,025,,,0.0
Location,TXT,Location-026,Matrix of word-grams occurrences,026,,,0.0
Location,TXT,Location-032,Matrix of word-grams occurrences,032,,,0.0
Location,TXT,Location-036,Matrix of word-grams occurrences,036,,,0.0
Location,TXT,Location-018,Matrix of word-grams occurrences,018,,,0.0
Location,TXT,Location-044,Matrix of word-grams occurrences,044,,,0.0
Location,TXT,Location-059,Matrix of word-grams occurrences,059,,,0.0
Location,TXT,Location-062,Matrix of word-grams occurrences,062,,,0.0
Location,TXT,Location-gardens suite,Matrix of word-grams occurrences,gardens suite,,,0.0
Location,TXT,Location-gardens,Matrix of word-grams occurrences,gardens,,,0.0
Location,TXT,Location-garden,Matrix of word-grams occurrences,garden,,,0.0
Location,TXT,Location-garcia,Matrix of word-grams occurrences,garcia,,,0.0
Location,TXT,Location-gateway apt,Matrix of word-grams occurrences,gateway apt,,,0.0
Location,TXT,Location-gateway,Matrix of word-grams occurrences,gateway,,,0.0
Location,TXT,Location-ga,Matrix of word-grams occurrences,ga,,,0.0
Location,TXT,Location-groves apt,Matrix of word-grams occurrences,groves apt,,,0.0
Location,TXT,Location-groves suite,Matrix of word-grams occurrences,groves suite,,,0.0
Location,TXT,Location-groves,Matrix of word-grams occurrences,groves,,,0.0
Location,TXT,Location-graham,Matrix of word-grams occurrences,graham,,,0.0
Location,TXT,Location-grant,Matrix of word-grams occurrences,grant,,,0.0
Location,TXT,Location-greens,Matrix of word-grams occurrences,greens,,,0.0
Location,TXT,Location-gregory,Matrix of word-grams occurrences,gregory,,,0.0
Location,TXT,Location-glenn,Matrix of word-grams occurrences,glenn,,,0.0
Location,TXT,Location-glens,Matrix of word-grams occurrences,glens,,,0.0
Location,TXT,Location-glen,Matrix of word-grams occurrences,glen,,,0.0
Location,TXT,Location-gutierrez,Matrix of word-grams occurrences,gutierrez,,,0.0
Location,TXT,Location-gu,Matrix of word-grams occurrences,gu,,,0.0
Location,TXT,Location-george,Matrix of word-grams occurrences,george,,,0.0
Location,TXT,Location-gonzalez,Matrix of word-grams occurrences,gonzalez,,,0.0
Location,TXT,Location-491,Matrix of word-grams occurrences,491,,,0.0
Location,TXT,Location-496,Matrix of word-grams occurrences,496,,,0.0
Location,TXT,Location-4972,Matrix of word-grams occurrences,4972,,,0.0
Location,TXT,Location-499,Matrix of word-grams occurrences,499,,,0.0
Location,TXT,Location-4331,Matrix of word-grams occurrences,4331,,,0.0
Location,TXT,Location-435,Matrix of word-grams occurrences,435,,,0.0
Location,TXT,Location-437,Matrix of word-grams occurrences,437,,,0.0
Location,TXT,Location-446,Matrix of word-grams occurrences,446,,,0.0
Location,TXT,Location-447,Matrix of word-grams occurrences,447,,,0.0
Location,TXT,Location-467,Matrix of word-grams occurrences,467,,,0.0
Location,TXT,Location-4695,Matrix of word-grams occurrences,4695,,,0.0
Location,TXT,Location-478,Matrix of word-grams occurrences,478,,,0.0
Location,TXT,Location-479,Matrix of word-grams occurrences,479,,,0.0
Location,TXT,Location-482,Matrix of word-grams occurrences,482,,,0.0
Location,TXT,Location-483,Matrix of word-grams occurrences,483,,,0.0
Location,TXT,Location-404,Matrix of word-grams occurrences,404,,,0.0
Location,TXT,Location-419,Matrix of word-grams occurrences,419,,,0.0
Location,TXT,Location-421,Matrix of word-grams occurrences,421,,,0.0
Location,TXT,Location-451,Matrix of word-grams occurrences,451,,,0.0
Location,TXT,Location-kelli,Matrix of word-grams occurrences,kelli,,,0.0
Location,TXT,Location-kelly,Matrix of word-grams occurrences,kelly,,,0.0
Location,TXT,Location-kennethshire,Matrix of word-grams occurrences,kennethshire,,,0.0
Location,TXT,Location-kenneth,Matrix of word-grams occurrences,kenneth,,,0.0
Location,TXT,Location-keys,Matrix of word-grams occurrences,keys,,,0.0
Location,TXT,Location-key,Matrix of word-grams occurrences,key,,,0.0
Location,TXT,Location-kevin,Matrix of word-grams occurrences,kevin,,,0.0
